Rating,Description
5,"Kondisi : Baru
Berat Satuan : 35 g
Min. Pemesanan : 25 Buah
Kategori : Kotak Makan
Etalase : Oval Container
Deskripsi : Harga per pcs, minimal order 25 pcs. 
Link Custom Printing Logo
https://tokopedia.link/1gwtHXri4Pb
Type Oval 700 ML: Ukuran:19 x 11,5 x 5 CM 
SAFECO Eco Food Container: 
Jika makannya too oilly. Terlalu berminyak bisa dialasi dengan daun pisang ya kak. Supaya lebih tahan lama. Kotak water and oil resistant tetapi tetap produk ramah lingkungan. Jd ada pori2 nya. Tergantung makanan nya. Jika terlalu oilly saus nya bisa meresap perlahan ke wadahnya juga kalau kelamaan. Jd kalau khawatir bisa dialasi daun pisang. 
 Kemasan 1X pakai yang aman digunakan pada freezer, oven dan microwave. 
Aman sebagai wadah tahan panas tidak mengandung toksin dan chemical berbahaya, Food Grade 
Alternatif pengganti fungsi styrofoam/kemasan takeaway. 
Alternatif pengganti loyang untuk baking membuat kue, roti, ice cream, puding dan dessert box. 
 Alternatif pengganti alumunium tray/ alumunium foil cup untuk pasta brulee, mentai. 
 Terbuat dari bahan natural jerami gandum, bahan eco friendly yang mudah terurai dan dapat dicompostkan 
 Bisa dikukus, alas kukusan dialasi kertas / kertas roti. 
Informasi tentang Product: 
1. Produk 1 X, Untuk baking harus memakai kertas roti. Supaya tidak lengket dan mudah dikeluarkan. NOTES Untuk Baking: tidak perlu oles2 wadah dengan mentega, butter, carlo, margarine karena Mentega yang dipanaskan akan membuat warnanya wadah berubah. Pasta, puding, ice cream bisa langsung dituangkan ke wadah. 
2. Wadah aman dioven, bisa untuk baking kue dari adonan sampai jadi kue. Suhu oven, temperature yg digunakan 175-180 selama 60 menit. 200 C selama 15-20 menit. 
3. Bisa dikukus, alas kukusan ditambahkan kain atau kertas roti supaya uap panas nya tidak langsung nyentrong ke wadahnya  
Info Pengiriman: 
1. Senin-jumat cut off pengiriman sampai jam 14.00 
2. Sabtu cut off pengiriman sampai jam 11.00 
3. Packing sudah aman, tidak perlu menambahkan bubble wrap. 
4. Ig: safeco packaging
Terima Kasih, 
Safeco Packaging
"
5,"Kondisi : Baru
Berat Satuan : 2 kg
Min. Pemesanan : 1 Buah
Kategori : Sedotan
Etalase : Oxo Biodegradable Straw
Deskripsi : PRIMASTRAW Oxium Straw - 100% Made in Indonesia
- Food Safe and Food Grade -
HARGA SUDAH TERMASUK PER 1000 PCS / 4 PACK
Sedotan OXO Bubble Biodegradable Pastel Steril Ujung Runcing Bungkus Plastik tersedia dalam warna:
- Pink Pastel
- Orange Pastel
- Hijau Pastel
- Biru Pastel
Mix/Campur, tidak bisa dipisah
Warna sangat unik, cocok untuk cafe dan restoran, memberi kesan cheerful dan playful
Diameter: 12 MM
Panjang: 21 CM
* Tiap Straw dibungkus satu per satu untuk menjaga kebersihan, hygiene & keamanan produk
* Packaging akan menggunakan bungkus plastik + kardus, dijamin aman sampai tujuan luar kota/luar pulau
* Packing per pack produk ini adalah 250 pcs/pack (PEMESANAN WAJIB MIN 1000 PCS/4 pack)
Certification:
* Sedotan Oxium diproduksi dengan menggunakan teknologi Oxo-Biodegradable yang memudahkan plastik terurai dalam sinar UV
* Terdaftar di Ekolabel Type 1 SNI Indonesia juga Type 2 Swadeklarasi Indonesia, MyHijau Malaysia, SIRIM Malaysia
* Lulus ASTM D6954-04: “Standard Guide for Exposing and Testing Plastics that Degrade in the Environment by a Combination of Oxidation and Biodegradation”
* Oxium telah lulus tes RoHS (Restriction of Hazardous Substances) & BPOM (Badan Pengawasan Obat dan Makanan
* ASTM G21: “Standard Practice for Determining Resistance of Synthetic Polymeric Materials to Fungi""
* ROHS, BPOM, Halal, Non heavy metal, FDA standard, Japanese food standard
* PRIMASTRAW telah mendapatkan sertifikat HALAL dengan No. LPPOM-00440230661223
Kenapa Harus Sedotan Oxium?
* Terbuat dari Bahan Baku Terjamin dan Tersertifikasi
* Aman dipakai dalam segala jenis minuman
* Tidak ada Expired Date
* Sudah terbukti dipakai oleh Brand besar dan ber-reputasi
* Mempercepat degradasi plastik
* Oxium adalah “100% Indonesian Technology with US Patent”
* Aman dipakai dalam segala jenis minuman
* Penggunaan tahan hingga 55 C
* Bukan untuk dibuang secara sembarangan
"
4.9,"Kondisi : Baru
Berat Satuan : 230 g
Min. Pemesanan : 1 Buah
Kategori : Kantong Sampah
Etalase : Kantong Ramah Lingkungan
Deskripsi : Kantong sampah biodegradable / kantong sampah ramah lingkungan / no plastik
Kantong sampah ini terbuat dari tepung jagung.
BPA Free, Heavy Metal Free and Plasticizer Free.
Tidak ada bahan Polyethelene yang digunakan dalam produksi.
Ketika dibuang di tanah, kantong sampah bio ini akan terurai secara alami tanpa meninggalkan residu.
Kantong sampah ini telah lulus sertifikasi Uni Eropa: DIN EN 13432
Bisa digunakan untuk sampah basah, sampah kering, pembalut wanita dan popok bayi.
Ukuran kantong sampah terdiri dari 3 jenis yaitu:
1. Kantong ukuran 35 x 40 cm berisi 60 pcs (bisa memuat sampai 5 kg)
2. Kantong ukuran 45 x 50 cm berisi 60 pcs (bisa memuat sampai 7 kg)
3. Kantong ukuran 50 x 60 cm berisi 60 pcs (bisa memuat sampai 8 kg)
Keep the ocean green and planet blue
Kami selalu berusaha memberikan yang terbaik untuk anda.
"
5,"Kondisi : Baru
Berat Satuan : 25,5 kg
Waktu Preorder : 10 Hari
Min. Pemesanan : 1 Buah
Kategori : Biji Plastik
Etalase : BIJI PLASTIK 1 ZAK 25KG murni virgin
Deskripsi : Biji plastik biodegradable dari sari pati singkong mengandung PLA (polylactid acid)  Merk : indofilam Biodegradable pellet ini adalah biobased biodegradable polymer compound yang dibuat dari bahan baku yang dapat diperbaharu dengan baham utama tepung singkong turunan minyak nabati, dan bahan pembantu lainnya.  Karakteristik biodegradable -FOOD GRADE tahan air dan bisa di komposkan karena dapat terbiodegradasi oleh mikroorganisme -BISA DIKOMPOSKAN (terurai di alam) : jika kena tanah / mikroorganisme lain nya akan muda terurai -Tidak mengandung PE / PP / PET / PS / bahan minyak bumi lain nya (murni biogreen) -Dapat digunakan ulang + tahan air  Kami menjual 2 macam biji plastik PLA : 1.PLA WR (Water Resistant) 2.PLA NV (hasil akhir matte / doff - bukan glossy) aplikasi : -PLA WR : digunakan untuk industri injection peralatan medis, botol medis, yg berhubungan dengan medis -PLA NV : digunakan untuk injection molding, filament printer 3D, extrusion, dll  Perbedaan WR san NV bisa dilihat di Technical Data Sheet (TDS)  NB : dapat disimpan dalam waktu lama di luar ruangan suhu normal (asal tidak ada mikroorganisme) – Sebelum digunakan wajib dikeringkan terlebih dahulu sekitar 50 derajat selama  gt;3 jam  - Harga per 1 zak (isi =25 kg) - Untuk pembelian banyak di atas 1 zak chat admin (harga bisa nego) - Pengiriman luar kota bisa pakai jasa yang di sediakan lapak online - Pengiriman luar kota selain jasa dr lapak online – misalnya CARGO lebih murah, bisa chat admin  po 10 hari, biasa estimasi 2-5 hari sudah ready (jaga2 jika ada kendala lain)  setelah ready bisa langsung diambil ke gudang kami, bagi yang domisili Bandung harga sudah termasuk biaya layanan tokopedia 10%  diluar platfrom tanpa biaya layanan tokopedia harga sewaktu waktu dapat berubah
"
5,"Kondisi : Baru
Berat Satuan : 8 g
Min. Pemesanan : 50 Buah
Kategori : Tudung Saji
Etalase : Takeaway Cup Coffee Ice Cream Sauce
Deskripsi : CUP LID Ramah Lingkungan yang terbuat dari bahan Ampas Tebu dan memiliki sertifikat internasional. Tanpa bahan plastik ataupun mikroplastik, dan lapisan plastik. Hal ini memungkinkan para eco-warriors untuk mengomposkannya dirumah setelah pemakaian. Produk ini akan menjadi nutrisi bagi tanah dan terurai di dalam tanah dalam waktu 90-120 hari (max 1 tahun, tergantung kondisi tanah)
Contoh KETERANGAN NAMA
A90 = TYPE A uk 90mm = cocok untuk cup 12oz
A80 = TYPE A uk 80mm = cocok untuk cup 8 oz
A80 No Hole = TYPE A 80mm tanpa lubang = cocok untuk cup 8 oz 
FITUR
- Tahan air
- Tahan panas sampai 200 C
- Aman untuk Microwave, Freezer dan Oven
- Bahan kokoh
- FOOD GRADE
- NO PLASTIC, NO PAPER, NO PLA / 100% HOME COMPOSTABLE
- Cocok untuk cup ecoplease ataupun coffee cup yang terbuat dari kertas
Detail Produk :
Size diameter 80mm - cocok untuk gelas kopi ukuran 8 Oz
Size diameter 90mm - cocok untuk gelas kopi ukuran 12 Oz
Warna tersedia sesuai dengan stok yang ada
TERMS (MOHON DIBACA) 
- Minimal ORDER 50 PCS, jika ingin test product bisa melalui SAMPLE PACK
- Fast respon jam kerja Senin - Sabtu pukul 10.00 - 18.00, Minggu atau hari libur slow response
- BATAS SAME DAY ORDER JAM 4
- Periksa kembali NOMOR HP (TELP) & ALAMAT LENGKAP. Guna mempercepat dan memperlancar pengiriman.
- BARANG YANG SUDAH DI BELI TIDAK BISA DI KEMBALIKAN
- Jika ingin custom terntentu langsung hubungi kami di chat
- Setiap produk yang ada di catalogue tetapi sedang out of stock bisa di preorder.
MEMBELI = SETUJU
Thank you for taking part in caring. Let's stop hurting, start healing.
"
5,"Kondisi : Baru
Berat Satuan : 70 g
Min. Pemesanan : 25 Buah
Kategori : Kotak Makan
Etalase : Extra Wide Container model lebih lebar
Deskripsi : Harga diatas per pieces. Minimal order 25 pcs  
Barang ready stock silahkan diorder 
Link Custom Printing Logo
https://tokopedia.link/beG1jyVg4Pb
Jika makannya too oilly. Terlalu berminyak bisa dialasi dengan daun pisang ya kak. Supaya lebih tahan lama. Kotak water and oil resistant tetapi tetap produk ramah lingkungan. Jd ada pori2 nya. Tergantung makanan nya. Jika terlalu oilly saus nya bisa meresap perlahan ke wadahnya juga kalau kelamaan. Jd kalau khawatir bisa dialasi daun pisang. 
Wadah yang dijual termasuk tutup Warna Natural Coklat. Tempat makanan sekali pakai bahan dari bamboo bahan ramah lingkungan, tidak mengandung lapisan plastik sama sekali, mudah terurai (90-120 hari). Freezer, Oven dan Microwave Safe. 
Bagasse Square 9 inch 1 compartment tanpa sekat 
Ukuran 9 inch /1440 ml
Tanpa sekat
Dimensi. 24.6 x 23.3 x 3.5 cm
Tinggi tutup 4 cm
Tinggi produk dengan tutup 6.5 cm 
Tutupnya rapat  
Info Pengiriman 
1. Senin-jumat cut off pengiriman sampai jam 14.00 
2. Sabtu cut off pengiriman jam 11.00
3. Packing sdh aman tidak perlu menambahkan bubble wrap. 
4. Ig: Safeco Packaging 
Terima kasih, 
Safeco Packaging
"
4.8,"Kondisi : Baru
Berat Satuan : 15 g
Min. Pemesanan : 10 Buah
Kategori : Sikat Gigi
Etalase : Semua Etalase
Deskripsi : Spesifikasi :
Material Sikat : Bamboo
Material Bulu : Single-tipped nylon brushed carbon brush wire
Ukuran : ± 17,5cm
Warna : Putih (White)
Diproduksi dengan teknologi terbaru, menghasilkan produk yang berkualitas, non toxic, BPA Free & LEAD Free.
Sangat cocok digunakan pada industri hotel, villa, homestay, souvenir, wedding, dll.
Pembelian grosir dalam jumlah banyak silahkan chat / hubungi kami terlebih dahulu
Keterangan : Khusus produk dari bamboo di harapkan tidak di simpan di dalam tempat tertutup dan lembab agar tidak menyebabkan jamur dan kerusakan lain.
*PENTING
*Semua barang sebelum kami kirim sudah melalui double check
Produk harap segera diunboxing (bukti video dan foto) dalam waktu maksimal 2x24 jam setelah barang diterima, melebihi waktu itu kami tidak menerima komplain dalam bentuk apapun 
Mohon pengertiannya 
Terima kasih
"
4.7,"Kondisi : Baru
Berat Satuan : 120 g
Min. Pemesanan : 1 Buah
Kategori : Piring & Mangkok Saji
Etalase : Semua Etalase
Deskripsi : Spesifikasi Produk
Tipe Paket: Satuan
Negara Asal: China
Bahan: Wheat straw
Jenis Piring: Piring Sajian
Jumlah: 1
Dikirim Dari
KAB. TANGERANG - CIKUPA, BANTEN, ID
Deskripsi Produk
Fitur :
Set piring yang terbuat dari bahan Wheat Straw, tidak lengket, & awet. Bahan Wheat straw merupakan bahan yang terbuat dari serat jerami gandum yang tentunya aman untuk lingkungan & aman digunakan untuk alas makanan/minuman.
A) Warna pastel yang cantik
B) Tidak mudah pecah
C) Tidak lengket dan mudah dibersihkan
D) BPA free
Detail Produk:
Bahan : Wheatstraw(serat gandum) + PP food grade
Rentang suhu : -20 ℃ -120 ℃
Berat bersih :363 gr ; Berat kotor :383 gr
Warna : Pink, biru, hijau, dan krem
Ukuran Produk :
14.5 x 14.5 x 3.5 cm
15x15x1cm
20 x 20 x 3.5 cm
23 x 23 x 3.5 cm
25 x 25 x 3.5 cm
"
5,"Kondisi : Baru
Berat Satuan : 42 g
Min. Pemesanan : 25 Buah
Kategori : Lunch Box Set
Etalase : Kotak Makan Sekat
Deskripsi : Harga per pcs, minimal order 25 pcs. 
Link Custom Printing Logo
https://tokopedia.link/1gwtHXri4Pb
Safeco Eco Food Container: 
 Product adalah kemasan 1X pakai yang aman digunakan pada freezer, oven dan microwave. Untuk Freezer -20C. Bisa dipakai untuk menghangatkan makanan. 
 Aman sebagai wadah tahan panas tidak mengandung toksin dan chemical berbahaya, Food Grade, Bisa langsung kena makanan 
 Alternatif pengganti fungsi styrofoam/ kotak makan takeaway. 
 Product terbuat dari bahan natural jerami gandum, bahan eco friendly yang mudah terurai dan dapat dicompostkan dalam waktu 90-120 hari. 
 Bisa dikukus, alas kukusan dialasi kertas/kertas roti. 
Type Wide Container 700 ML/2C/2 Compartment/ Pakai Sekat Ukuran: 18 x 12,5 x 5,5 CM 
Ukuran sekatnya : 7.5 x 10,5 cm. Kanan kiri sama besar 
Info Pengiriman: 
1. Senin-jumat cut off pengiriman sampai jam 14.00 
2. Sabtu cut off pengiriman sampai jam 11.00. 
3. Packing sudah aman, tidak perlu menambahkan bubble wrap. 
4. Ig: safeco packaging
Terima Kasih, 
Safeco Packaging
"
5,"Kondisi : Baru
Berat Satuan : 300 g
Min. Pemesanan : 1 Buah
Kategori : Kantong Sampah
Etalase : Semua Etalase
Deskripsi : COMPOSTABLE TRASH BAG   Detail Produk:  - Dimensi 45x50cm  - Isi 30 Kantong  - Box tebal  amp; kualitas premium   Kantong sampah yang terbuat dari bahan nabati, menggunakan tepung jagung dan sumber daya terbarukan tanaman lainnya sebagai bahan bakunya. Dimodifikasi menjadi plastik baru ini dapat terurai secara alami di alam tanpa menimbulkan kerusakan lingkungan. Ini adalah kantong sampah murni yang tidak berbau, tidak beracun, dan dapat dibuat kompos.    Dapat digunakan untuk kantong sampah indoor  amp; outdoor.    PERINGATAN!  Bungkus pecahan kaca dan benda tajam untuk mencegah cidera  amp; jauhkan dari jangkauan anak-anak
"
